gen-25th,gen-50th,gen-75th,enc-25th,enc-50th,enc-75th,dec-25th,dec-50th,dec-75th,sk ,pk,ct,sesk,System
1053186201,1056650526,1061409402,371595213,372622068,373891185,413375688,413638416,415085067,4456650,4454241,616704,32,oddmanhattan256
8071410357,8327571543,8566752447,34833465,34892775,35034309,261644697,261682092,263591766,98304,32768,32768,32,pqrsa15
13708854,13858551,13989609,25632549,25883487,26149104,54375156,54900459,54979857,54056,27044,28064,32,ramstakers216091
63809919,64699236,65949192,116689707,117962127,120647754,228448287,229212396,229495698,189242,94637,96167,32,ramstakers756839
7714782,7756164,7766397,11357397,11406006,11437857,15563988,15644727,16276284,32,1056,1568,32,remblem1056
7655562,7688538,7748568,11334177,11368809,11403891,15452127,15538725,16197687,32,928,1376,32,remblem928
23806593,23825223,23840982,1969002,2089602,2330253,4855725,4877307,4920669,2001,1961,2089,64,rolloii128
25171884,25184304,25381107,2053989,2060631,2084472,5208021,5218821,5304366,2381,2341,2469,64,rolloii192
29780406,29890530,29944188,2307537,2311245,2330829,6198453,6203826,6430923,2599,2559,2687,64,rolloii256
1686186,1792773,1797003,3154887,3195693,3218463,17948061,18149238,18396270,1874,1834,3652,64,rqc128
3377394,3444732,3628152,6249285,6271308,7028721,35890101,36357696,37018764,2893,2853,5690,64,rqc192
4578957,4609737,4789818,8200791,8211807,8223840,52520985,52733727,52816959,4130,4090,8164,64,rqc256
129700791,199878291,316134999,28710,29169,32787,5113782,5125509,5129469,384,256,256,32,rsa2048
394047,395658,396018,517473,519912,565119,496089,732132,733950,2304,992,1088,32,saber2
24271965,24283134,24326973,39672018,39689820,39749265,42348420,42365844,42382512,434,378,402,16,sikep503
94352247,94363056,94370067,11347452,11349963,11355354,32210631,32213997,32219757,1600,1218,1047,32,sntrup4591761
28120365,28167462,28255230,1165428,1167156,1170486,2742381,2744208,2753469,1518,994,897,32,sntrup653
34935048,34959069,34973010,1554192,1556613,1561338,3265110,3266190,3274785,1763,1158,1039,32,sntrup761
46882134,46909368,46998396,1949373,1953729,1958229,4625523,4632264,4789980,1999,1322,1184,32,sntrup857
368640,381726,390654,428517,440982,449586,634734,635256,640062,40,1584,1697,32,threebears1248r2cca
376182,376902,377388,427221,428031,428967,517509,517797,518418,3184,1584,1697,32,threebears1248r2ccax
117432,117909,118071,154854,155403,155646,273996,275301,275796,40,804,917,32,threebears624r2cca
122517,122634,122877,155601,155799,156006,210204,210384,210717,1624,804,917,32,threebears624r2ccax
222534,223290,234675,270072,270621,282861,432099,432486,432891,40,1194,1307,32,threebears936r2cca
229680,230022,230346,270693,271170,271431,344754,345501,348840,2404,1194,1307,32,threebears936r2ccax
4179492,4188510,4200921,3914982,3921885,3931587,4565043,4568922,4581999,20544,20512,6048,32,titaniumccahi
2791845,2794815,2805579,2519973,2521422,2532267,2894526,2896137,2908287,14752,14720,3008,32,titaniumccalite
3990168,3994227,4006728,3737097,3739275,3749445,4243635,4247973,4260645,18304,18272,4544,32,titaniumccamed
3612159,3615570,3626262,2850705,2852883,2864061,3305331,3306276,3319488,16384,16352,3552,32,titaniumccastd
6077826,6087924,6093162,5704452,5714055,5717286,6660108,6672510,6675714,26944,26912,8352,32,titaniumccasuper
2486115,2489481,2498346,1835622,1836684,1838322,2153547,2155635,2162772,12224,12192,2720,32,titaniumccatoy
